,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
13679,Richmond upon Thames,Entire home/apt,250,7,1,0.05,5,360
13680,Westminster,Private room,85,1,1,0.07,1,365
13683,Lambeth,Entire home/apt,105,2,8,0.24,1,40
13685,Wandsworth,Private room,30,1,7,0.21,4,18
13686,Hillingdon,Private room,88,1,67,1.87,1,89
13687,Hackney,Entire home/apt,90,2,36,1.05,1,331
13688,Wandsworth,Private room,40,1,10,0.29,4,364
13689,Kensington and Chelsea,Entire home/apt,100,1,4,0.11,1,0
13690,Hounslow,Entire home/apt,142,2,50,1.42,1,128
13693,Islington,Entire home/apt,80,2,17,0.48,1,0
13695,Hounslow,Entire home/apt,100,1,23,0.68,1,0
13698,Westminster,Entire home/apt,130,6,2,1.46,1,142
13699,Lambeth,Private room,45,2,13,0.83,1,249
13701,Tower Hamlets,Entire home/apt,69,2,10,0.28,1,342
13702,Lewisham,Entire home/apt,60,1,11,0.34,1,0
13703,Haringey,Entire home/apt,92,5,6,0.18,1,0
13705,Lewisham,Private room,45,2,2,0.1,1,348
13707,Kensington and Chelsea,Entire home/apt,102,1,113,3.15,16,7
13708,Islington,Entire home/apt,79,1,2,0.06,1,0
13709,Westminster,Entire home/apt,122,2,13,0.37,1,0
13710,Lambeth,Private room,26,2,2,0.08,1,0
13711,Barnet,Entire home/apt,109,5,1,0.03,1,0
13714,Camden,Entire home/apt,145,2,51,1.45,5,10
13717,Camden,Entire home/apt,110,2,8,0.3,2,360
13719,Merton,Private room,35,1,3,0.08,1,0
13720,Richmond upon Thames,Entire home/apt,98,3,11,0.33,1,208
13721,Redbridge,Private room,25,3,2,0.06,2,305
13722,Bromley,Private room,52,1,45,1.28,1,298
13724,Bromley,Private room,25,1,68,1.9,1,8
13725,Hackney,Entire home/apt,125,2,7,0.47,1,0
13726,Redbridge,Private room,20,3,17,0.49,2,250
13727,Tower Hamlets,Private room,40,1,2,0.06,1,0
13728,Tower Hamlets,Private room,32,1,2,0.06,1,0
13730,Kensington and Chelsea,Entire home/apt,150,2,45,1.28,1,0
13731,Wandsworth,Private room,40,1,2,1.82,1,81
13732,Newham,Private room,45,1,3,0.08,4,344
13733,Wandsworth,Entire home/apt,99,2,4,1.24,1,82
13734,Newham,Private room,45,1,1,0.35,4,220
13735,Richmond upon Thames,Private room,100,1,4,0.12,1,358
13737,Westminster,Private room,110,3,111,3.1,2,291
13740,Lewisham,Private room,25,3,5,0.14,1,251
13743,Lewisham,Private room,55,1,2,0.47,1,358
13744,Wandsworth,Private room,65,2,51,1.43,1,364
13745,Brent,Private room,50,1,4,0.12,1,299
13747,Islington,Private room,59,2,134,3.81,2,158
13748,Islington,Entire home/apt,85,2,14,0.4,1,0
13749,Brent,Entire home/apt,85,3,13,0.49,1,112
13750,Islington,Entire home/apt,119,3,97,2.76,2,13
13751,Ealing,Private room,50,1,50,1.43,2,357
13756,Hackney,Shared room,45,1,21,0.6,2,364
13757,Lambeth,Private room,49,2,17,0.47,1,312
13758,Southwark,Private room,39,2,30,1.86,1,31
13759,Lewisham,Private room,23,7,7,0.19,4,89
13760,Wandsworth,Entire home/apt,121,2,3,0.09,1,0
13761,Hackney,Entire home/apt,80,3,41,1.22,1,0
13765,Enfield,Private room,45,1,3,0.09,1,365
13766,Sutton,Private room,24,2,57,2.21,2,0
13767,Lambeth,Entire home/apt,80,2,4,0.11,1,0
13768,Kensington and Chelsea,Entire home/apt,85,1,194,5.46,8,252
13769,Camden,Entire home/apt,88,3,83,2.3,1,220
13772,Hackney,Entire home/apt,75,3,6,0.17,1,0
13774,Hackney,Entire home/apt,75,4,1,0.03,1,0
13776,Hackney,Entire home/apt,135,7,18,0.51,1,0
13777,Westminster,Entire home/apt,130,1,120,3.32,6,5
13778,Hackney,Entire home/apt,65,2,20,0.58,1,349
13780,Greenwich,Entire home/apt,220,2,1,0.91,1,128
13784,Wandsworth,Entire home/apt,110,2,45,1.31,1,362
13785,Southwark,Entire home/apt,69,3,6,0.17,1,0
13789,Lewisham,Private room,31,1,73,2.07,2,51
13791,Brent,Entire home/apt,85,2,8,0.52,1,0
13792,Ealing,Entire home/apt,56,5,3,0.2,1,0
13793,Merton,Private room,50,2,17,1.65,2,14
13794,Croydon,Private room,39,1,8,0.23,2,174
13796,Hackney,Entire home/apt,50,1,6,0.23,2,0
13797,Lewisham,Private room,35,1,1,0.68,1,178
13798,Islington,Entire home/apt,50,2,4,0.12,1,0
13799,Camden,Entire home/apt,150,1,34,0.97,8,3
13801,Islington,Private room,60,1,136,3.82,10,283
13802,Tower Hamlets,Entire home/apt,66,4,21,0.66,1,8
13803,Tower Hamlets,Private room,110,1,31,0.87,3,364
13804,Tower Hamlets,Private room,125,1,1,0.03,1,0
13806,Westminster,Private room,99,2,27,0.77,13,315
13807,Westminster,Private room,60,1,205,5.69,4,257
13809,Hackney,Entire home/apt,95,1,12,0.34,1,0
13811,Hackney,Private room,45,1,27,0.81,3,178
13812,Richmond upon Thames,Entire home/apt,90,6,9,0.35,1,316
13813,Islington,Entire home/apt,109,2,41,1.15,3,0
13814,Richmond upon Thames,Private room,60,2,1,0.88,3,347
13816,Hackney,Private room,50,1,1,0.04,3,365
13819,Southwark,Entire home/apt,105,4,21,0.61,1,343
13823,Westminster,Private room,43,2,101,2.87,8,0
13824,Southwark,Entire home/apt,139,3,172,4.93,6,93
13825,Tower Hamlets,Private room,35,3,107,2.99,6,15
13826,Camden,Entire home/apt,199,4,64,1.84,1,39
13827,Westminster,Private room,45,2,91,2.56,8,0
