,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,Haringey,Private room,35,1,131,1.71,4,262
1,Ealing,Private room,70,2,2,0.07,6,62
2,Islington,Private room,45,1,14,0.14,2,364
5,Tower Hamlets,Entire home/apt,102,5,7,0.07,56,295
6,Barnet,Private room,29,5,114,1.13,3,285
7,Islington,Entire home/apt,150,3,54,0.57,7,350
8,Islington,Entire home/apt,150,2,67,0.71,7,353
9,Tower Hamlets,Private room,50,3,38,0.51,3,69
10,Barnet,Entire home/apt,185,7,1,0.02,2,0
11,Southwark,Private room,64,3,28,1.01,2,0
12,Newham,Private room,34,1,105,1.06,2,345
13,Hounslow,Private room,100,1,3,0.03,2,365
14,Camden,Private room,45,1,163,1.66,2,348
15,Richmond upon Thames,Entire home/apt,195,3,55,0.58,1,267
16,Haringey,Private room,72,2,452,4.7,2,241
17,Hackney,Entire home/apt,75,1,51,0.53,1,24
18,Southwark,Private room,70,2,51,0.52,1,349
20,Tower Hamlets,Entire home/apt,79,2,137,1.43,1,0
21,Hammersmith and Fulham,Private room,62,2,298,3.15,2,294
22,Hammersmith and Fulham,Entire home/apt,296,6,20,0.27,2,12
24,Westminster,Private room,35,3,7,0.14,1,0
26,Barnet,Private room,25,5,77,0.8,3,48
27,Barnet,Entire home/apt,165,4,15,0.2,1,365
28,Hounslow,Private room,49,2,57,0.65,1,179
29,Southwark,Private room,79,1,70,0.77,2,364
30,Waltham Forest,Private room,35,2,2,0.02,1,0
31,Hammersmith and Fulham,Private room,60,2,141,1.44,2,59
32,Barnet,Private room,45,2,430,4.48,2,300
37,Hammersmith and Fulham,Private room,36,2,149,2.41,3,352
38,Brent,Entire home/apt,100,2,87,1.19,1,53
39,Hammersmith and Fulham,Private room,65,7,26,0.42,2,342
40,Hammersmith and Fulham,Private room,55,7,9,0.15,2,331
41,Hackney,Private room,45,5,37,0.41,1,295
42,Camden,Private room,40,3,1,0.03,1,173
43,Westminster,Entire home/apt,120,3,89,0.92,1,13
44,Haringey,Entire home/apt,80,3,61,0.63,1,220
45,Lambeth,Private room,39,2,23,0.27,4,305
46,Hackney,Entire home/apt,69,2,2,0.25,1,52
48,Hammersmith and Fulham,Entire home/apt,75,1,22,2.63,1,239
49,Hackney,Private room,58,3,154,1.6,2,23
50,Camden,Private room,39,3,329,3.43,1,256
51,Westminster,Private room,48,2,96,1.0,2,242
53,Hammersmith and Fulham,Entire home/apt,73,1,66,0.71,5,277
54,Westminster,Entire home/apt,149,2,50,0.69,1,336
55,Westminster,Entire home/apt,125,2,99,1.07,1,63
56,Islington,Entire home/apt,80,3,9,0.13,1,40
57,Lambeth,Private room,55,3,8,0.16,2,342
58,Lambeth,Entire home/apt,85,4,6,0.12,2,281
59,Brent,Private room,125,2,78,0.84,2,362
61,Westminster,Entire home/apt,250,1,67,0.71,3,22
63,Brent,Private room,55,3,68,0.72,2,365
64,Westminster,Private room,75,1,178,1.91,3,358
65,Ealing,Private room,23,4,165,1.92,1,334
68,Hackney,Private room,60,1,52,0.77,2,362
69,Tower Hamlets,Entire home/apt,135,5,10,0.16,56,293
70,Kensington and Chelsea,Private room,55,1,334,3.61,2,286
71,Tower Hamlets,Entire home/apt,115,1,3,0.13,2,0
72,Southwark,Entire home/apt,85,6,174,2.02,3,285
74,Hammersmith and Fulham,Private room,78,1,22,0.24,5,245
75,Westminster,Entire home/apt,160,1,83,0.92,3,16
76,Hackney,Entire home/apt,76,3,30,0.43,1,220
77,Barnet,Private room,23,4,21,0.26,2,342
78,Haringey,Private room,50,1,5,0.07,1,364
79,Camden,Entire home/apt,148,3,48,0.59,12,287
81,Haringey,Private room,80,1,33,0.37,1,298
82,Lambeth,Private room,42,2,138,1.53,1,45
83,Lambeth,Entire home/apt,50,3,54,0.9,1,0
85,Wandsworth,Private room,25,2,11,0.14,1,252
87,Tower Hamlets,Entire home/apt,93,7,68,1.36,1,0
88,Islington,Entire home/apt,227,5,38,0.42,7,330
89,Westminster,Entire home/apt,200,1,20,0.26,3,358
91,Southwark,Private room,32,3,46,1.11,1,43
92,Hackney,Private room,93,1,263,2.93,4,233
93,Merton,Private room,35,1,103,1.45,1,325
95,Westminster,Entire home/apt,140,5,4,0.55,1,318
96,Kensington and Chelsea,Entire home/apt,85,2,13,0.15,1,0
97,Southwark,Private room,56,2,6,0.07,1,221
98,Wandsworth,Entire home/apt,95,2,107,1.23,1,59
99,Lambeth,Entire home/apt,89,2,70,0.79,1,110
100,Greenwich,Entire home/apt,185,1,55,0.61,2,349
102,Islington,Entire home/apt,133,6,10,0.16,1,0
103,Richmond upon Thames,Entire home/apt,180,3,2,0.26,5,355
105,Westminster,Entire home/apt,283,3,154,1.78,5,282
106,Tower Hamlets,Entire home/apt,124,2,178,2.01,2,143
108,Bromley,Private room,40,2,53,0.6,1,80
109,Camden,Entire home/apt,150,5,9,0.11,1,200
111,Islington,Private room,99,2,46,0.74,3,317
113,Southwark,Private room,48,1,172,1.94,5,360
114,Greenwich,Private room,70,1,18,0.21,2,364
115,Islington,Entire home/apt,100,5,7,0.13,1,266
116,Brent,Entire home/apt,120,3,25,0.28,2,353
117,Islington,Private room,42,4,5,0.06,2,365
118,Southwark,Private room,57,1,284,3.19,6,325
119,Hackney,Private room,25,7,49,1.06,1,87
121,Merton,Entire home/apt,190,1,26,3.07,1,17
122,Wandsworth,Entire home/apt,170,4,64,0.75,1,365
124,Lambeth,Private room,56,2,356,4.0,1,350
126,Westminster,Entire home/apt,150,2,26,0.3,2,4
127,Haringey,Entire home/apt,115,4,25,0.66,1,259
128,Hammersmith and Fulham,Entire home/apt,125,3,72,0.86,1,365
129,Camden,Entire home/apt,99,4,163,1.91,1,335
131,Croydon,Entire home/apt,76,3,3,0.73,1,358
132,Wandsworth,Private room,60,2,28,0.4,3,168
133,Westminster,Entire home/apt,180,5,75,0.87,1,357
135,Hounslow,Entire home/apt,55,2,2,0.08,1,0
136,Westminster,Entire home/apt,231,4,37,0.8,7,127
137,Islington,Entire home/apt,99,1,71,0.83,2,362
138,Kensington and Chelsea,Entire home/apt,190,2,42,0.49,1,10
139,Croydon,Private room,35,2,8,0.09,2,364
140,Tower Hamlets,Private room,75,1,46,4.21,1,19
141,Westminster,Entire home/apt,231,4,9,0.21,7,267
142,Lewisham,Private room,51,2,49,0.7,1,289
143,Kensington and Chelsea,Entire home/apt,105,2,295,3.4,1,266
144,Kensington and Chelsea,Private room,98,1,30,0.34,2,365
145,Islington,Entire home/apt,85,2,16,0.79,1,10
146,Islington,Private room,70,1,181,2.09,2,267
147,Wandsworth,Private room,42,1,155,1.78,1,306
149,Lambeth,Entire home/apt,95,2,18,0.29,3,0
150,Hammersmith and Fulham,Entire home/apt,180,3,13,0.16,1,358
151,Merton,Entire home/apt,75,5,10,0.13,3,298
152,Kensington and Chelsea,Entire home/apt,159,4,96,1.15,1,42
153,Camden,Private room,65,2,163,2.14,1,0
154,Lambeth,Private room,54,2,41,0.7,1,95
155,Tower Hamlets,Entire home/apt,220,2,17,0.2,2,358
157,Tower Hamlets,Entire home/apt,70,1,9,2.5,1,3
159,Brent,Private room,45,3,63,0.72,2,353
161,Hammersmith and Fulham,Private room,45,2,231,2.62,1,203
163,Southwark,Entire home/apt,161,6,47,0.53,1,10
164,Lambeth,Private room,35,2,30,0.35,1,364
165,Haringey,Private room,38,3,72,1.09,2,347
166,Richmond upon Thames,Private room,75,2,91,1.41,1,92
167,Haringey,Entire home/apt,88,8,25,0.33,1,347
168,Hammersmith and Fulham,Entire home/apt,125,3,62,0.97,1,365
169,Newham,Private room,27,1,91,1.04,2,335
170,Islington,Entire home/apt,157,3,28,0.33,7,353
171,Islington,Entire home/apt,135,2,38,1.35,2,172
172,Hackney,Private room,29,2,96,1.15,1,156
173,Lambeth,Entire home/apt,90,2,72,0.82,1,144
174,Haringey,Private room,30,3,3,0.03,1,90
175,Hackney,Entire home/apt,140,1,25,0.29,3,179
176,Lambeth,Private room,90,3,297,3.37,1,241
177,Tower Hamlets,Private room,60,2,26,0.37,3,0
179,Waltham Forest,Private room,28,3,144,1.68,1,282
180,Tower Hamlets,Private room,55,3,65,0.74,1,312
181,Islington,Private room,130,4,420,4.79,7,288
182,Westminster,Entire home/apt,160,2,338,3.91,1,233
183,Kensington and Chelsea,Entire home/apt,231,4,18,0.21,7,299
184,Westminster,Private room,55,2,73,0.84,1,346
185,Southwark,Entire home/apt,70,2,333,3.84,1,255
186,Islington,Private room,30,1,7,0.22,2,0
188,Enfield,Private room,25,7,16,0.26,1,348
189,Hammersmith and Fulham,Entire home/apt,99,4,42,0.52,1,30
190,Camden,Private room,60,2,191,2.18,1,342
191,Islington,Entire home/apt,110,2,6,0.14,2,275
192,Hackney,Entire home/apt,95,2,28,0.81,1,161
194,Camden,Entire home/apt,120,6,182,2.1,1,102
196,Tower Hamlets,Private room,75,2,3,0.93,2,180
197,Lambeth,Entire home/apt,90,2,87,1.03,1,133
199,Hackney,Private room,45,1,4,0.08,2,355
200,City of London,Entire home/apt,130,3,200,2.32,2,256
201,Westminster,Entire home/apt,146,3,39,0.56,12,285
202,Tower Hamlets,Private room,50,1,32,0.6,1,328
203,Barnet,Private room,46,1,27,0.32,2,358
204,Hackney,Entire home/apt,135,3,66,0.77,1,340
205,Merton,Entire home/apt,125,1,3,0.24,2,23
206,Hackney,Private room,45,1,14,0.32,3,365
207,Newham,Entire home/apt,65,4,32,0.39,1,324
208,Southwark,Entire home/apt,110,2,18,0.21,1,220
209,Ealing,Private room,30,7,82,0.96,1,62
210,Lambeth,Entire home/apt,166,5,23,0.33,56,277
211,Kensington and Chelsea,Entire home/apt,150,2,8,0.46,1,342
212,Southwark,Private room,37,1,8,0.17,2,52
213,Kensington and Chelsea,Private room,43,2,29,0.89,2,312
214,Hackney,Private room,35,3,102,1.18,1,364
215,Richmond upon Thames,Entire home/apt,63,2,51,0.6,1,336
216,Haringey,Entire home/apt,99,3,5,0.06,1,0
217,Hammersmith and Fulham,Entire home/apt,25,1,57,0.67,2,54
218,Westminster,Entire home/apt,83,2,1,0.03,1,0
219,Southwark,Private room,40,3,125,1.47,2,277
220,Hackney,Entire home/apt,89,7,25,0.29,2,343
221,Southwark,Private room,52,3,159,2.1,2,38
222,Hammersmith and Fulham,Private room,45,2,126,1.46,1,84
223,Lewisham,Entire home/apt,105,2,63,0.76,6,336
225,Islington,Private room,45,1,116,1.36,1,121
226,Islington,Private room,55,1,36,0.42,2,365
229,Kensington and Chelsea,Entire home/apt,75,2,121,1.46,1,6
230,Westminster,Entire home/apt,130,4,130,3.58,1,112
231,Tower Hamlets,Private room,50,3,122,1.43,1,306
232,Islington,Entire home/apt,150,2,41,0.5,7,360
233,Kensington and Chelsea,Private room,85,3,79,1.34,2,318
234,Westminster,Entire home/apt,97,3,17,0.2,1,0
237,Westminster,Private room,50,1,130,1.55,1,324
238,Kensington and Chelsea,Entire home/apt,120,2,44,0.53,1,271
239,Islington,Private room,38,2,59,0.7,2,279
240,Hackney,Entire home/apt,103,6,138,2.0,8,128
241,Brent,Entire home/apt,75,1,15,0.31,1,358
242,Islington,Entire home/apt,90,2,7,0.52,1,0
243,Wandsworth,Private room,57,2,134,1.59,2,345
244,Hammersmith and Fulham,Entire home/apt,100,3,18,0.28,1,268
245,Wandsworth,Entire home/apt,65,5,4,0.16,2,0
246,Richmond upon Thames,Private room,50,1,129,1.66,1,361
247,Lewisham,Private room,25,1,22,0.35,2,347
248,Southwark,Private room,45,3,222,2.62,2,299
250,Southwark,Private room,69,3,128,1.51,1,69
251,Brent,Entire home/apt,80,2,11,0.23,1,198
252,Southwark,Private room,40,2,3,0.04,1,67
253,Hounslow,Private room,75,2,5,0.06,1,127
255,Hackney,Entire home/apt,60,3,18,0.21,1,8
256,Islington,Entire home/apt,70,1,14,0.92,2,267
258,Westminster,Entire home/apt,280,5,1,0.01,3,38
260,Kensington and Chelsea,Private room,35,2,137,1.63,2,6
261,Lambeth,Entire home/apt,154,3,6,0.09,56,156
262,Camden,Private room,48,2,74,0.92,1,365
263,Barking and Dagenham,Private room,39,2,20,0.24,1,364
264,Tower Hamlets,Private room,40,3,165,2.17,1,306
265,Southwark,Private room,42,1,83,1.17,1,362
266,Wandsworth,Entire home/apt,93,4,11,0.13,3,177
267,Kensington and Chelsea,Entire home/apt,95,1,230,2.72,1,277
268,Croydon,Private room,18,3,46,0.55,4,319
269,Camden,Entire home/apt,95,3,40,0.49,17,277
270,Ealing,Entire home/apt,45,7,46,0.55,1,0
271,Southwark,Private room,55,4,46,0.55,6,287
272,Lambeth,Entire home/apt,180,1,261,3.11,4,37
273,Kensington and Chelsea,Private room,44,2,22,0.27,2,3
274,Westminster,Entire home/apt,110,1,6,0.07,10,284
275,Tower Hamlets,Entire home/apt,165,5,20,0.31,56,290
276,Croydon,Private room,35,2,62,0.75,3,313
278,Westminster,Entire home/apt,120,3,7,0.08,1,11
280,Waltham Forest,Private room,42,2,165,2.02,3,295
282,Kensington and Chelsea,Private room,38,1,326,4.4,2,290
284,Westminster,Entire home/apt,99,2,10,0.12,10,284
285,Hammersmith and Fulham,Private room,65,1,135,1.62,4,353
286,Westminster,Entire home/apt,125,4,8,0.1,1,0
287,Southwark,Private room,40,1,112,1.33,1,158
288,Islington,Entire home/apt,150,5,120,1.54,1,18
289,Lambeth,Private room,49,1,91,1.12,4,40
290,Lambeth,Entire home/apt,240,2,187,2.31,4,55
291,Hackney,Entire home/apt,110,3,120,1.44,2,300
292,Lambeth,Private room,79,2,64,0.78,2,321
294,Westminster,Entire home/apt,180,2,29,0.36,1,365
295,Lewisham,Private room,30,1,22,0.46,3,0
296,Kensington and Chelsea,Private room,60,1,238,2.86,2,351
298,Hackney,Entire home/apt,90,7,4,0.05,1,0
299,Lambeth,Private room,79,2,57,0.68,2,220
300,Hammersmith and Fulham,Private room,100,1,1,0.01,1,363
301,Islington,Private room,34,3,33,0.43,2,338
302,Islington,Private room,140,4,271,3.3,7,299
304,Southwark,Private room,45,4,210,2.55,2,312
305,Kensington and Chelsea,Private room,70,2,199,2.39,2,355
306,Westminster,Entire home/apt,130,1,10,0.12,10,343
307,Haringey,Entire home/apt,119,2,73,0.93,5,5
308,Hackney,Private room,40,1,132,1.59,1,233
309,Lambeth,Private room,54,1,414,5.03,5,304
310,Islington,Entire home/apt,159,2,42,0.51,17,293
311,Hammersmith and Fulham,Entire home/apt,120,5,104,1.35,1,318
312,Kensington and Chelsea,Entire home/apt,150,4,15,0.18,1,0
313,Kensington and Chelsea,Entire home/apt,170,3,171,2.06,1,102
314,Brent,Private room,39,3,90,1.09,1,88
315,Barnet,Private room,33,2,5,0.07,2,364
317,Wandsworth,Private room,29,4,103,1.34,2,145
318,Hackney,Private room,40,1,21,0.26,1,333
319,Hackney,Entire home/apt,123,5,18,0.22,2,25
320,Enfield,Private room,65,5,11,0.19,3,336
321,Islington,Private room,50,2,120,1.52,1,363
322,Hackney,Entire home/apt,100,1,227,3.42,6,308
323,Lambeth,Private room,44,5,126,1.78,2,95
325,Tower Hamlets,Entire home/apt,110,10,29,0.37,1,335
326,Islington,Entire home/apt,109,4,2,0.04,1,1
327,Hackney,Entire home/apt,110,7,13,0.17,2,26
329,Camden,Entire home/apt,90,3,130,1.59,1,60
330,Westminster,Entire home/apt,189,1,75,1.19,12,365
331,Westminster,Private room,90,1,506,6.43,1,60
332,Westminster,Entire home/apt,229,1,53,1.29,12,349
333,Kensington and Chelsea,Entire home/apt,159,1,80,3.0,12,342
334,Westminster,Entire home/apt,259,1,7,0.11,12,365
335,Kensington and Chelsea,Entire home/apt,129,1,127,2.72,12,346
338,Hackney,Private room,80,10,36,0.77,2,0
339,Lambeth,Private room,85,3,33,0.4,3,320
340,Camden,Private room,58,2,208,2.69,1,59
341,Ealing,Private room,35,3,38,0.48,2,355
343,Lambeth,Private room,36,5,37,0.48,1,358
344,Hackney,Entire home/apt,91,1,11,0.45,1,44
345,Ealing,Private room,30,1,213,2.59,1,346
346,Brent,Entire home/apt,140,3,5,0.14,2,194
348,Merton,Private room,30,1,32,0.86,1,246
349,Hackney,Entire home/apt,138,2,41,0.56,1,89
350,Westminster,Entire home/apt,70,7,12,0.15,2,268
351,Kensington and Chelsea,Private room,61,1,59,0.72,2,344
352,Waltham Forest,Private room,30,3,38,0.48,1,342
354,Waltham Forest,Private room,29,2,11,0.14,1,84
355,Islington,Private room,38,3,9,0.2,1,39
357,Westminster,Private room,70,2,167,2.03,14,321
359,Westminster,Private room,91,2,116,1.87,1,324
360,Westminster,Entire home/apt,190,2,235,2.87,1,0
361,Southwark,Private room,30,2,57,0.72,1,92
362,Wandsworth,Private room,32,2,105,1.33,2,317
363,Newham,Entire home/apt,80,3,18,0.22,1,69
364,Lewisham,Entire home/apt,190,3,13,0.26,8,265
365,Lewisham,Entire home/apt,85,3,2,0.08,8,306
366,Lewisham,Entire home/apt,120,4,12,0.23,8,348
367,Lewisham,Entire home/apt,125,4,10,0.27,8,335
368,Lewisham,Entire home/apt,120,3,4,0.06,8,339
369,Lewisham,Entire home/apt,105,3,4,0.41,8,333
370,Lewisham,Entire home/apt,150,4,7,0.12,8,304
371,Lewisham,Entire home/apt,160,4,8,0.19,8,323
372,Haringey,Private room,23,2,9,0.11,3,0
373,Camden,Private room,55,2,446,5.45,1,283
374,Kensington and Chelsea,Entire home/apt,80,6,12,0.15,1,0
375,Lambeth,Private room,46,1,379,4.67,5,315
376,Hackney,Entire home/apt,181,1,77,1.05,14,365
377,Ealing,Private room,29,2,43,0.53,2,162
378,Hammersmith and Fulham,Entire home/apt,75,4,78,1.38,4,236
380,Camden,Private room,265,1,11,0.14,2,237
381,Greenwich,Entire home/apt,130,3,103,1.35,25,26
382,Greenwich,Entire home/apt,100,3,45,0.63,25,352
383,Richmond upon Thames,Entire home/apt,65,4,19,0.31,1,229
384,Hillingdon,Private room,30,1,7,0.11,4,0
385,Wandsworth,Private room,22,5,11,0.14,2,179
386,Kensington and Chelsea,Entire home/apt,149,1,101,2.45,12,352
387,Newham,Entire home/apt,60,3,6,0.08,1,2
388,Kensington and Chelsea,Entire home/apt,130,4,27,0.85,1,0
389,Islington,Private room,80,2,36,0.44,1,359
390,Camden,Entire home/apt,105,1,112,1.4,2,0
391,Southwark,Private room,34,1,5,2.17,1,91
392,Lewisham,Entire home/apt,45,3,18,0.24,1,290
393,Hammersmith and Fulham,Entire home/apt,120,3,35,1.0,1,281
394,Merton,Entire home/apt,100,3,11,0.14,35,364
395,Lewisham,Entire home/apt,130,3,50,0.61,2,342
396,Lambeth,Private room,25,7,20,0.37,1,365
397,Waltham Forest,Private room,50,2,17,0.22,2,313
398,Westminster,Entire home/apt,145,2,51,0.67,14,138
399,Merton,Entire home/apt,130,5,7,0.09,35,358
400,Hounslow,Entire home/apt,130,6,4,0.06,35,347
401,Westminster,Entire home/apt,89,5,6,0.09,1,0
402,Southwark,Private room,43,1,57,1.66,1,41
403,Camden,Entire home/apt,80,1,152,1.89,7,342
404,Camden,Entire home/apt,80,1,108,1.33,7,358
405,Camden,Entire home/apt,80,1,113,1.39,7,362
407,Westminster,Private room,89,2,245,3.08,14,290
408,Southwark,Entire home/apt,125,1,12,0.23,1,230
409,Ealing,Private room,50,1,59,0.76,1,173
410,Camden,Entire home/apt,124,5,73,0.94,2,261
413,Kensington and Chelsea,Entire home/apt,105,3,4,0.32,5,256
414,Hackney,Entire home/apt,79,3,26,0.33,1,247
415,Lewisham,Private room,75,2,4,0.09,6,362
416,Hackney,Entire home/apt,100,2,33,0.45,1,311
417,Islington,Entire home/apt,95,3,33,0.73,2,195
418,Harrow,Entire home/apt,50,3,56,0.79,1,255
419,Hackney,Entire home/apt,90,2,77,1.08,1,1
420,Westminster,Entire home/apt,250,1,16,0.2,2,358
422,Southwark,Entire home/apt,250,2,14,0.18,2,165
424,Newham,Private room,45,2,36,0.45,7,187
425,Newham,Private room,45,2,30,0.38,7,341
426,Tower Hamlets,Private room,69,1,6,0.47,1,118
429,Hammersmith and Fulham,Private room,105,3,1,0.04,3,365
431,Camden,Private room,100,3,99,1.23,1,312
432,Camden,Entire home/apt,275,2,17,0.3,1,15
434,Lambeth,Private room,29,2,1,0.03,2,312
435,Waltham Forest,Entire home/apt,136,1,39,0.51,3,2
436,Harrow,Entire home/apt,50,6,48,1.03,1,139
439,Barnet,Entire home/apt,40,1,93,1.19,4,267
440,Hammersmith and Fulham,Private room,59,2,192,2.46,1,337
441,Barnet,Entire home/apt,70,1,61,0.87,4,220
442,Waltham Forest,Private room,34,1,38,0.53,1,304
446,Brent,Entire home/apt,39,1,117,1.53,1,284
447,Haringey,Entire home/apt,99,2,93,1.21,1,89
449,Haringey,Entire home/apt,190,2,51,0.65,1,352
450,Waltham Forest,Private room,35,1,30,0.6,1,337
453,Waltham Forest,Private room,30,1,228,2.86,2,326
455,Haringey,Entire home/apt,125,2,1,0.04,2,0
456,Southwark,Entire home/apt,200,5,4,0.06,1,263
458,Westminster,Entire home/apt,200,2,50,0.64,14,106
459,Greenwich,Private room,40,3,10,0.15,7,364
460,Greenwich,Private room,30,2,15,0.23,7,364
461,Islington,Private room,140,4,253,3.28,7,307
463,Waltham Forest,Entire home/apt,200,4,103,1.35,1,105
466,Barking and Dagenham,Private room,41,4,3,0.04,1,365
467,Southwark,Entire home/apt,135,5,210,2.65,8,0
469,Waltham Forest,Entire home/apt,108,3,7,0.13,1,333
471,Hillingdon,Private room,30,1,64,0.8,2,229
472,Westminster,Entire home/apt,179,3,47,0.63,12,342
474,Camden,Entire home/apt,51,3,1,0.04,33,268
475,Camden,Entire home/apt,120,3,14,0.63,33,13
476,Camden,Entire home/apt,150,3,1,0.04,33,131
477,Southwark,Entire home/apt,85,1,20,0.29,2,0
478,Islington,Private room,47,1,6,0.28,2,343
480,Hackney,Entire home/apt,190,3,20,0.27,1,25
481,Lambeth,Entire home/apt,210,3,143,1.89,1,246
482,Camden,Entire home/apt,120,2,41,0.52,1,18
483,Greenwich,Private room,34,3,181,2.58,1,196
484,Lambeth,Private room,31,5,7,0.09,4,340
485,Westminster,Entire home/apt,230,3,70,0.91,5,350
486,Kensington and Chelsea,Entire home/apt,190,3,18,0.27,5,245
487,Wandsworth,Private room,20,1,80,0.99,1,360
488,Lewisham,Private room,35,2,57,2.53,1,5
490,Camden,Entire home/apt,100,2,76,0.99,1,65
492,Barnet,Private room,40,1,25,0.36,2,365
493,Tower Hamlets,Entire home/apt,85,1,237,3.01,28,2
494,Brent,Entire home/apt,80,2,10,0.13,1,0
495,Haringey,Private room,30,1,187,2.43,3,337
496,Hackney,Entire home/apt,85,10,5,0.08,1,72
497,Lewisham,Private room,25,1,37,0.53,2,347
498,Camden,Entire home/apt,80,1,66,0.86,7,360
499,Newham,Private room,45,2,6,0.1,1,0
501,Lambeth,Private room,31,1,57,0.77,3,364
502,Lambeth,Private room,53,3,331,4.33,2,277
503,Camden,Private room,80,1,30,0.38,6,338
504,Enfield,Entire home/apt,80,3,4,0.05,1,365
506,Waltham Forest,Private room,28,2,82,1.04,1,240
508,Camden,Private room,99,4,238,3.08,1,23
509,Lambeth,Entire home/apt,105,2,43,0.59,1,251
510,Kensington and Chelsea,Private room,58,4,8,0.13,2,84
511,Brent,Entire home/apt,150,7,14,0.18,1,43
513,Wandsworth,Private room,45,3,113,1.49,2,352
514,Tower Hamlets,Entire home/apt,89,4,58,0.78,1,19
515,Redbridge,Entire home/apt,75,2,21,0.32,1,343
516,Islington,Entire home/apt,79,3,57,0.74,1,5
517,Hackney,Entire home/apt,75,7,1,0.02,1,0
519,Lewisham,Private room,22,3,25,0.34,2,337
520,Redbridge,Private room,23,1,4,0.25,1,365
521,Wandsworth,Private room,65,3,7,0.11,1,0
522,Newham,Private room,35,2,135,1.79,1,271
523,Camden,Private room,40,1,72,1.13,5,359
525,Hammersmith and Fulham,Entire home/apt,87,2,160,2.23,1,87
528,Wandsworth,Private room,53,2,193,2.51,1,94
529,Lambeth,Entire home/apt,125,3,16,0.21,3,318
530,Hackney,Private room,62,4,180,2.34,1,0
533,Ealing,Private room,20,2,57,0.8,1,332
534,Hackney,Entire home/apt,140,3,4,0.08,1,304
535,Lambeth,Entire home/apt,128,3,110,1.41,2,144
538,Hounslow,Private room,32,2,6,0.09,2,0
541,Islington,Entire home/apt,99,5,146,1.87,4,285
542,Ealing,Private room,60,1,94,1.52,6,308
543,Barking and Dagenham,Private room,45,5,8,0.1,1,362
544,Lewisham,Private room,36,5,151,1.93,3,245
545,Islington,Private room,60,1,145,1.84,4,220
546,Newham,Private room,25,1,368,5.06,1,329
548,Westminster,Entire home/apt,89,4,40,0.54,1,261
550,Hackney,Private room,80,1,283,3.8,6,327
551,Hackney,Entire home/apt,65,1,27,0.4,1,2
552,Barking and Dagenham,Private room,20,2,2,0.36,1,57
553,Barnet,Entire home/apt,150,2,18,1.36,1,363
554,Lewisham,Private room,31,2,73,0.95,1,291
555,Barnet,Private room,28,3,9,1.22,1,357
556,Hammersmith and Fulham,Private room,60,2,245,3.12,1,301
557,Camden,Entire home/apt,100,3,62,0.83,2,240
558,Harrow,Private room,20,3,23,0.39,5,0
560,Haringey,Private room,70,1,4,0.07,1,0
561,Croydon,Private room,19,1,20,0.32,3,331
563,Ealing,Private room,50,2,1,0.02,1,365
565,Hounslow,Entire home/apt,160,5,35,0.62,2,299
566,Newham,Private room,38,3,189,2.43,3,55
567,Westminster,Entire home/apt,185,7,29,0.49,6,352
568,Hackney,Entire home/apt,90,8,6,0.08,1,0
569,Waltham Forest,Entire home/apt,35,1,8,0.29,1,16
570,Enfield,Private room,30,2,42,0.56,2,42
571,Lambeth,Private room,27,3,137,1.82,4,347
572,Lambeth,Private room,25,1,2,0.05,4,220
573,Lambeth,Private room,23,3,123,1.94,4,339
575,Hackney,Entire home/apt,90,2,6,0.12,1,68
576,Southwark,Entire home/apt,195,7,3,0.42,1,0
579,Islington,Entire home/apt,150,3,229,2.95,1,4
580,Islington,Entire home/apt,80,1,28,0.36,1,298
581,Kensington and Chelsea,Entire home/apt,100,5,84,1.31,1,357
583,Newham,Private room,115,2,18,0.26,2,190
585,Lambeth,Entire home/apt,130,4,19,0.29,1,7
586,Camden,Private room,80,1,59,0.83,6,338
587,Camden,Entire home/apt,250,2,35,0.93,6,338
588,Lambeth,Private room,49,1,78,1.0,4,61
589,Lambeth,Private room,49,1,67,0.87,4,59
590,Tower Hamlets,Entire home/apt,159,3,36,0.47,1,46
591,Waltham Forest,Private room,45,2,1,0.01,1,0
592,Barnet,Private room,50,2,3,0.06,3,354
593,Islington,Private room,40,2,63,0.81,1,233
594,Islington,Entire home/apt,100,3,15,0.19,2,184
595,Hackney,Private room,79,6,86,1.17,1,0
596,Islington,Private room,98,2,38,1.58,6,149
598,Kensington and Chelsea,Entire home/apt,175,1,190,2.48,2,310
599,Lambeth,Private room,32,2,175,2.32,1,161
600,Enfield,Private room,40,1,2,0.03,1,358
601,Lambeth,Private room,59,2,37,0.49,2,158
602,Tower Hamlets,Entire home/apt,85,5,14,0.18,1,325
603,Islington,Private room,50,4,53,0.7,1,54
604,Ealing,Private room,45,7,6,0.08,2,26
605,Waltham Forest,Private room,80,2,41,0.54,2,360
607,Harrow,Private room,30,3,6,0.08,5,364
609,Greenwich,Entire home/apt,140,4,30,0.47,13,247
610,Lewisham,Private room,28,1,14,0.5,1,14
611,Newham,Private room,40,3,67,0.87,7,352
613,Westminster,Private room,45,2,7,0.13,1,0
615,Tower Hamlets,Entire home/apt,150,2,21,0.42,1,360
616,Tower Hamlets,Entire home/apt,275,7,84,1.09,2,264
617,Haringey,Private room,26,1,220,2.87,1,337
618,Kensington and Chelsea,Private room,45,2,86,1.11,2,36
619,Hackney,Private room,75,2,101,3.34,1,338
